x y sim_mag det_mag det_magerr snr sim_flux sim_psf_flux sim_zpt det_flux det_fluxerr det_zpt image
1247.485 2207.668 22.296 23.724 2.049 0.53 295.926 295.926 28.474 79.39 149.79 28.4738 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200513_2230861_2199.069_fake063_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1292.0 2195.515 20.338 21.193 0.184 5.9052 1795.442 1795.442 28.474 817.04 138.36 28.4738 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200513_2230861_2199.069_fake063_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1282.432 2192.17 21.988 22.208 0.486 2.2327 392.783 392.783 28.474 320.82 143.69 28.4738 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200513_2230861_2199.069_fake063_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1257.922 2213.079 20.583 20.715 0.13 8.3392 1432.983 1432.983 28.474 1268.81 152.15 28.4738 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200513_2230861_2199.069_fake063_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1270.914 2192.494 21.651 23.538 1.809 0.6002 535.7 535.7 28.474 94.29 157.09 28.4738 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200513_2230861_2199.069_fake063_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1258.854 2193.285 19.633 20.007 0.073 14.8908 3439.194 3439.194 28.474 2435.98 163.59 28.4738 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200513_2230861_2199.069_fake063_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1258.854 2175.307 19.146 19.344 0.034 31.9636 5385.244 5385.244 28.474 4486.73 140.37 28.4738 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200513_2230861_2199.069_fake063_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1240.862 2175.295 20.44 20.608 0.108 10.0691 1635.131 1635.131 28.474 1400.92 139.13 28.4738 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200513_2230861_2199.069_fake063_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1240.861 2193.312 21.899 23.592 1.79 0.6067 426.394 426.394 28.474 89.67 147.81 28.4738 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200513_2230861_2199.069_fake063_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1249.882 2197.283 20.735 21.911 0.399 2.7226 1246.168 1246.168 28.474 421.98 154.99 28.4738 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200513_2230861_2199.069_fake063_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
