14h04m08.06755001s +54d16m31.86211396s
14h04m07.45905108s +54d17m01.98441464s
14h04m06.53162938s +54d19m56.68291s
14h04m06.07470777s +54d21m27.03025111s
14h04m03.97606439s +54d16m50.66153841s
14h04m04.06670348s +54d17m26.64761247s
14h04m03.83665402s +54d20m27.45951808s
14h04m03.86689501s +54d20m39.45474954s
14h04m02.11765226s +54d18m09.27868235s
14h04m02.38912329s +54d19m57.48655022s
14h04m02.6616181s +54d21m45.9436011s
14h04m01.28183995s +54d17m09.1837788s
14h04m01.62832468s +54d19m27.63041696s
14h04m00.22870628s +54d19m27.89941051s
14h04m00.25864416s +54d19m39.89476775s
14h03m57.17338913s +54d21m58.99602228s
14h03m55.99753364s +54d18m52.45316629s
14h03m55.51961568s +54d20m16.80122645s
14h03m54.50891421s +54d18m04.73053329s
14h03m53.91198595s +54d18m40.84650797s
14h03m52.97664856s +54d16m58.76321512s
14h03m53.13859811s +54d18m04.98893036s
14h03m52.24789864s +54d16m40.89849716s
14h03m51.73904023s +54d17m53.25074228s
14h03m51.24493604s +54d19m23.6013616s
14h03m51.17452896s +54d23m36.38463197s
14h03m49.48025437s +54d16m41.4162889s
14h03m50.25378841s +54d22m00.29943689s
14h03m50.5316383s +54d23m54.50601599s
14h03m49.61120059s +54d22m18.42059582s
14h03m47.67207311s +54d18m24.01165736s
14h03m47.62456701s +54d22m48.79176234s
14h03m46.02779124s +54d16m42.05664485s
14h03m47.06910891s +54d23m55.14920002s
14h03m44.17788463s +54d22m55.42739989s
14h03m41.0324647s +54d20m19.49028611s
14h03m39.89259953s +54d17m07.18146476s
14h03m38.03526078s +54d18m31.7745381s
14h03m36.7801054s +54d24m27.02570686s
14h03m35.84034333s +54d22m38.93738141s
14h03m32.18490571s +54d21m15.33300451s
14h03m30.30627481s +54d22m33.92026205s
14h03m24.71135092s +54d16m57.87470592s
14h03m21.54055882s +54d24m11.70067196s
14h03m19.21686644s +54d17m04.82089834s
14h03m20.20688013s +54d24m29.93007086s

